contestant,season,wins,bottoms,finale_appearnces,championships,dob,state
April Carrión,S06,0,2,0,0,1989-04-23,Puerto Rico
Ariel Versace,S11,0,1,1,0,1992-04-13,New Jersey
Blair St. Clair,S10,0,1,0,0,1995-05-16,Indiana
Brita,S12,0,3,0,0,1985-09-16,New York
Carmen Carrera,S03,0,3,0,0,1985-04-13,New Jersey
Charlie Hides,S09,0,1,0,0,1964-07-12,"UK/ Boston, Massachusetts"
Cynthia Lee Fontaine,S08|S09,0,3,0,0,1981-02-16,Texas
Dahlia Sin,S12,0,1,0,0,1991-05-13,California
Dax ExclamationPoint,S08,0,1,0,0,1984-07-29,Georgia
Delta Work,S03,0,3,0,0,1976-01-23,California
Dida Ritz,S04,0,2,0,0,1986-12-20,Illinois
Dusty Ray Bottoms,S10,0,1,0,0,1987-09-27,New York
Elliott with 2 Ts,S13,0,2,0,0,1993-07-30,Nevada
Farrah Moan,S09,0,2,0,0,1993-09-11,Nevada
Gia Gunn,S06,0,1,0,0,1990-05-10,Illinois
Honey Davenport,S11,0,1,1,0,1986-08-13,Pennsylvania
Honey Mahogany,S05,0,1,0,0,1983-12-28,California
India Ferrah,S03,0,2,0,0,1986-05-08,Ohio
Jackie Cox,S12,0,3,0,0,1985-04-10,New York
Jade,S01,0,1,0,0,1984-11-18,Illinois
Jade Jolie,S05,0,1,0,0,1986-11-02,Florida
Jaidynn Diore Fierce,S07,0,3,0,0,1988-12-17,Tennessee
Jan,S12,0,1,0,0,1993-06-11,New York
Jasmine Kennedie,S14,0,5,0,0,1999-05-22,New York
Jasmine Masters,S07,0,1,0,0,1977-10-16,California
Jaymes Mansfield,S09,0,1,0,0,1990-02-19,Wisconsin
Jiggly Caliente,S04,0,3,0,0,1981-11-29,New York
Joey Jay,S13,0,1,0,0,1990-08-14,Arizona
Joslyn Fox,S06,0,2,0,0,1986-07-27,Massachusetts
Jujubee,S02,0,4,1,0,1984-06-21,Massachusetts
June Jambalaya,S14,0,2,0,0,NA,California
Kahanna Montrese,S11,0,2,1,0,1993-03-25,Nevada
Kahmora Hall,S13,0,1,0,0,1991-09-13,Illinois
Kalorie Karbdashian Williams,S10,0,2,0,0,1990-05-23,New Mexico
Kandy Ho,S07,0,3,0,0,1987-09-24,Puerto Rico
Kelly Mantle,S06,0,1,0,0,1976-07-09,California
Kenya Michaels,S04,0,2,0,0,1990-05-08,Puerto Rico
Kerri Colby,S14,0,2,0,0,1996-07-30,California
Kimora Blac,S09,0,2,0,0,1988-12-15,Nevada
Laila McQueen,S08,0,2,0,0,1983-06-22,Massachusetts
Lashauwn Beyond,S04,0,1,0,0,1989-11-11,"Fort Lauderdale,Florida"
Maddy Morphosis,S14,0,2,0,0,1994-09-02,Arkansas
Magnolia Crawford,S06,0,1,0,0,1985-04-14,Washington
Mariah,S03,0,1,0,0,1982-02-13,Georgia
Mercedes Iman Diamond,S11,0,2,1,0,1986-12-12,Minnesota
Milan,S04,0,3,0,0,1975-05-27,South Carolina
Milk,S06,0,1,0,0,1987-06-23,New York
Mimi Imfurst,S03,0,1,0,0,1983-03-02,New York
Miss Fame,S07,0,1,0,0,1985-03-30,New York
Monica Beverly Hillz,S05,0,2,0,0,1985-01-31,Kentucky
Monique Heart,S10,0,1,0,0,1986-05-22,Missouri
Monét X Change,S10,0,3,0,0,1990-03-23,New York
Mrs. Kasha Davis,S07,0,1,0,0,1971-03-12,New York
Mystique Summers Madison,S02,0,1,0,0,1984-03-28,Illinois
Naysha Lopez,S08,0,2,0,0,1985-06-20,Illinois
Nicky Doll,S12,0,2,0,0,1991-03-14,New York
Nicole Paige Brooks,S02,0,1,0,0,1972-07-09,Georgia
Orion Story,S14,0,2,0,0,1996-06-25,Michigan
Pandora Boxx,S02,0,1,0,0,1972-05-02,New York
Penny Tration,S05,0,1,0,0,1972-10-12,Ohio
Phoenix,S03,0,1,0,0,1979-12-11,Georgia
Ra'Jah O'Hara,S11,0,4,1,0,1985-12-31,Texas
Rock M. Sakura,S12,0,1,0,0,1990-10-15,California
Sasha Belle,S07,0,1,0,0,1986-03-19,Iowa
Serena Cha Cha,S05,0,2,0,0,1990-09-17,Florida
Shannel,S01,0,2,0,0,1979-07-03,Nevada
Shuga Cain,S11,0,3,1,0,1977-11-20,California
Soju,S11,0,1,1,0,1991-05-08,Illinois
Sonique,S02,0,1,0,0,1983-05-02,Georgia
Tamisha Iman,S13,0,1,0,0,1970-10-16,Georgia
Tammie Brown,S01,0,1,0,0,1980-09-15,California
Tempest DuJour,S07,0,1,0,0,1967-09-01,Arizona
The Princess,S04,0,2,0,0,1980-02-27,Illinois
Thorgy Thor,S08,0,1,0,0,1984-05-25,New York
Trinity K. Bonet,S06,0,3,0,0,1991-01-31,Georgia
Trixie Mattel,S07,0,2,0,0,1989-08-23,Wisconsin
Vanessa Vanjie Mateo,S10|S11,0,4,1,0,1991-10-03,Florida
Venus D-Lite,S03,0,1,0,0,1984-09-19,California
Victoria (Porkchop) Parker,S01,0,1,0,0,1969-01-16,North Carolina
Vivacious,S06,0,2,0,0,1974-03-07,New York
Vivienne Pinay,S05,0,1,0,0,1985-08-02,New York
Yuhua Hamasaki,S10,0,1,0,0,1990-03-01,New York
